OwnerUserId,Score
"763","132"
"1724","16"
"1351","11"
"419","13"
"708","63"
"744","12"
"3611","6"
"1090","7"
"4883","23"
"4939","14"
"4883","77"
"5084","12"
"5079","17"
"886","15"
"6155","0"
"4161","37"
"6595","5"
"11063","12"
"4893","9"
"9236","14"
"5462","6"
"16168","21"
"8205","14"
"16515","3"
"","10"
"8786","2"
"18449","4"
"18458","21"
"17176","81"
"6600","15"
"","13"
"4685","20"
"17693","19"
"8897","8"
"8897","16"
"1681","3"
"8964","31"
"15771","12"
"19074","37"
"6350","6"
"","13"
"6044","30"
"","4"
"6069","2"
"15771","35"
"18437","21"
"17174","8"
"2424","16"
"4386","19"
"18770","62"
"9642","3"
"23120","12"
"18745","24"
"11388","12"
"5827","4"
"191","21"
"2648","98"
"23691","6"
"131","11"
"4766","13"
"26130","3"
"14089","27"
"26001","3"
"20498","15"
"3596","14"
"20955","31"
"30294","46"
"5132","5"
"11333","75"
"12386","11"
"35293","17"
"35305","20"
"19799","25"
"18709","1"
"5441","9"
"","6"
"24560","12"
"37592","15"
"6434","4"
"672","8"
"1474","5"
"757","17"
"26140","2"
"40495","4"
"41196","4"
"40091","10"
"201406","5"
"30529","77"
"","4"
"43049","4"
"11410","48"
"2635","14"
"42512","8"
"10420","15"
"4893","10"
"19112","24"
"25418","3"
"47936","3"
"36182","6"
"29297","20"
"","5"
"4086","32"
"48503","7"
"49145","15"
"12890","17"
"43756","13"
"24681","3"
"52954","25"
"85900","6"
"44533","-3"
"52406","4"
"18393","7"
"50786","1"
"39529","14"
"11773","25"
"47432","5"
"16868","5"
"41754","21"
"3508","45"
"","46"
"7899","3"
"362693","3"
"59159","8"
"","10"
"2170994","13"
"51078","8"
"20903","12"
"17337","14"
"45719","3"
"50572","2"
"51949","40"
"","19"
"13379","13"
"67063","5"
"","7"
"53997","13"
"69041","16"
"24337","22"
"29482","3"
"62237","6"
"47693","7"
"70192","12"
"19922","102"
"16296","6"
"2592","8"
"","4"
"47327","11"
"","3"
"59107","13"
"51133","19"
"49153","6"
"11236","12"
"1360","8"
"59301","13"
"63401","11"
"77884","6"
"48408","1"
"67694","20"
"39539","13"
"3355","29"
"48391","3"
"43671","8"
"26457","11"
"1648989","8"
"62116","4"
"55366","12"
"2348","13"
"50198","1"
"77212","3"
"71830","-1"
"42106","3"
"61435","8"
"47775","5"
"19252","30"
"34537","4"
"88033","2"
"7205","19"
"85821","8"
"14395","3"
"52209","12"
"90096","4"
"46011","0"
"5056","16"
"48175","2"
"88470","22"
"70300","5"
"72994","77"
"45005","43"
"3226","5"
"78310","19"
"255","30"
"77292","9"
"63309","21"
"4639","8"
"70551","38"
"27820","12"
"25050","6"
"82005","17"
"81514","13"
"62245","6"
"40882","8"
"15947","29"
"","1"
"18771","15"
"3347","28"
"11567","4"
"39590","3"
"3233","37"
"28004","2"
"104143","20"
"52420","0"
"17744","13"
"87152","20"
"","2"
"","1"
"67391","6"
"57428","18"
"108009","19"
"81850","0"
"5324","3"
"6624","13"
"80363","2"
"","19"
"16162","8"
"65387","18"
"2138","3"
"106615","5"
"24481","4"
"59808","11"
"112177","41"
"19404","22"
"44260","1"
"115865","13"
"90745","10"
"116522","6"
"23153","4"
"","7"
"7724","22"
"32914","17"
"31610","11"
"85040","3"
"79646","2"
"101689","7"
"84885","4"
"","14"
"10522","5"
"121466","28"
"17744","26"
"66506","1"
"3113","9"
"25843","28"
"118756","18"
"122028","1"
"124340","0"
"124558","8"
"87596","34"
"18771","2"
"24545","33"
"119622","7"
"50419","44"
"12983","16"
"110800","3"
"69033","7"
"91795","6"
"47633","8"
"101129","8"
"2766","35"
"47738","10"
"27385","3"
"16084","27"
"35364","11"
"110426","9"
"96403","0"
"29820","4"
"","6"
"128852","5"
"65232","14"
"21234","133"
"12597","18"
