OwnerUserId,Score
"58","5"
"779","11"
"797","107"
"493","118"
"1169","37"
"1948","34"
"1165587","19"
"1545","15"
"1874","41"
"2638","56"
"2191","37"
"2133","115"
"1666","77"
"1638","13"
"3560","38"
"3446","148"
"3830","30"
"184","31"
"2915","35"
"4653","53"
"4540","15"
"1281","5"
"","25"
"3366","15"
"","18"
"4872","19"
"556","51"
"12779","43"
"1185","12"
"8441","30"
"6583","3"
"15100","47"
"2183","40"
"4939","32"
"","23"
"15367","13"
"4872","89"
"17746","41"
"5653","1"
"6992","3"
"27","9"
"3263","22"
"19124","110"
"3093","74"
"","12"
"18590","14"
"6154","89"
"12096","20"
"4898","17"
"3713","55"
"7028","12"
"10577","37"
"5927","63"
"7839","72"
"3155","30"
"8912","68"
"17729","17"
"10774","80"
"781","40"
"5271","10"
"1196","84"
"82944","56"
"","27"
"22185","3"
"48281","12"
"19331","10"
"19159","2"
"20037","58"
"2484","12"
"8013","0"
"","17"
"10710","13"
"999","58"
"2535","34"
"2144","15"
"2833","120"
"2902","30"
"25724","90"
"11387","44"
"422","24"
"15124","24"
"364","18"
"91","24"
"8754","3"
"18511","48"
"13774","34"
"4014","6"
"27778","7"
"2084","11"
"18174","41"
"9021","33"
"429","72"
"1360","21"
"1709","8"
"28968","20"
"23681","58"
"","15"
"3379","29"
"1190","40"
"745","108"
"21709","16"
"1768","15"
"26286","80"
"23935","18"
"9458","67"
"9178","9"
"3018","62"
"7072","7"
"4481","35"
"21155","73"
"2469","38"
"34187","34"
"7287","3"
"24975","40"
"26809","17"
"34170","30"
"1316","11"
"35129","19"
"3827","15"
"34594","11"
"4853","24"
"28804","16"
"1195872","23"
"11795","18"
"8939","13"
"30786","24"
"","7"
"69572","297"
"22371","10"
"24639","56"
"2877","45"
"26155","40"
"6389","10"
"115","3"
"38561","11"
"13144","41"
"34568","20"
"29407","186"
"4491","28"
"10608","15"
"27653","42"
"23491","10"
"691","37"
"41541","1"
"4376","17"
"42276","6"
"3488","19"
"3966","29"
"","27"
"343","56"
"2197","33"
"7724","1"
"20133","66"
"29263","12"
"29849","8"
"43838","19"
"43841","12"
"43843","11"
"1100","13"
"41385","19"
"1100","40"
"43496","47"
"18853","0"
"44443","8"
"6688","89"
"32142","15"
"10606","56"
"39160","28"
"45846","9"
"","21"
"","2"
"31762","30"
"18966","8"
"37472","19"
"31132","5"
"47135","42"
"6068","154"
"34623","19"
"452521","26"
"658","9"
"5302","17"
"100","75"
"11522","7"
"51259","25"
"","101"
"42033","15"
"","41"
"2567","40"
"9195","69"
"21499","34"
"22451","1"
"28240","-1"
"53529","49"
"53531","16"
"54193","133"
"4639","20"
"1560","29"
"54873","34"
"32474","15"
"28804","40"
"11293","13"
"32484","54"
"18431","22"
"493","21"
"3043","40"
"13140","119"
"56506","27"
"57585","10"
"8024","40"
"9931","22"
"42475","77"
"1492","9"
"54547","23"
"5542","35"
"4782","9"
"1816","13"
"25318","122"
"54420","15"
"42303","53"
"51816","21"
"43994","10"
"46857","2"
"","10"
"31582","19"
"64827","11"
"8479","30"
"49701","21"
"393258","1"
"62835","18"
"","9"
"3627","27"
"49226","6"
"2720","20"
"17255","34"
"17469","40"
"","154"
"29669","24"
"14834","80"
"65412","3"
"61636","30"
"838","57"
"65526","22"
"53007","39"
"17145","4"
"69587","12"
"26004","8"
"71213","29"
"","23"
"180470","86"
"72014","3"
"72415","37"
"30133","34"
"326176","88"
"72852","5"
"67391","9"
"68788","15"
"23080","22"
"22996","13"
"266","13"
"64497","30"
"","16"
"61848","26"
"","28"
"30563","20"
"31141","29"
"32958","54"
"76840","17"
"74280","49"
"77665","13"
"6102","13"
"","23"
"38349","8"
"71560","11"
"49925","6"
"70942","0"
"3594","75"
"18393","33"
"41308","36"
"","2"
"68381","1"
"73137","18"
"10997","105"
"26447","12"
"23935","29"
"","7"
"4450","25"
"52745","10"
"62192","50"
"9021","35"
"26305","17"
"65927","26"
"80433","47"
"2527","34"
"81740","11"
"5295","34"
"72556","43"
"82380","2"
"","8"
"4465","36"
"57937","4"
"917","38"
"83218","70"
"42106","13"
"39803","8"
"84861","42"
"4555","29"
"72858","10"
"73231","18"
"20507","32"
"10461","113"
"54408","31"
"72583","17"
"","13"
"85737","17"
"","2"
"44084","33"
"76037","13"
"45507","51"
"85116","71"
"44996","25"
"","17"
"68452","21"
"83644","13"
"","29"
"39539","61"
"75500","22"
"14902","13"
"19410","109"
"86751","208"
"58289","271"
"46418","39"
"905","13"
"70283","7"
"68043","98"
"64329","53"
"20336","23"
"80427","57"
"84022","28"
"57501","41"
"89035","36"
"89035","29"
"96960","21"
"21880","17"
"98620","30"
"2284","100"
"234","9"
"959","32"
"402","9"
"1797","145"
"1976","37"
"432","19"
"2588","50"
"2078","82"
"142","87"
"1384652","100"
"4048","70"
"685","6"
"4550","33"
"4704","38"
"46","18"
"3110","2"
"137","3"
"4872","91"
"4790","41"
"242","18"
"5694","87"
"131","38"
"4690","106"
"3590","35"
"10589","3"
"15173","2"
"","15"
"15187","29"
"9345","5"
"14777","51"
"6069","4"
"15161","53"
"","22"
"9396","46"
"14385","26"
"9594","33"
"3740","38"
"18511","33"
"17222","57"
"18402","175"
"5261","36"
"7831","62"
"18159","16"
"20498","16"
"20730","11"
"9338","37"
"21574","35"
"12277","52"
"2887","49"
"21608","12"
"4872","51"
"18986","50"
"1310","4"
"1341","34"
"6521","52"
"23423","41"
"23439","67"
"2648","5"
"194","18"
"2926","5"
"6329","7"
"4019","14"
"2871","19"
"615","61"
"4872","8"
"17964","58"
"13469","18"
"5769","59"
"23120","16"
"2138","12"
"4224","21"
"27580","9"
"13990","35"
"10861","14"
"28321","7"
"17902","45"
"20103","52"
"27247","28"
"","10"
"","27"
"1679","2"
"","7"
"","6"
"67719","66"
"650","143"
"67719","19"
"27753","15"
"1688440","63"
"30541","30"
"525","12"
"5694","120"
"1874","21"
"31001","14"
"1574","82"
"5441","17"
"","29"
"26004","30"
"21974","5"
"163","27"
"24396","26"
"25719","23"
"14440","11"
"13913","8"
"2660","107"
"8280","6"
"9328","48"
"","20"
"20760","35"
"32726","84"
"17540","87"
"4491","171"
"34880","32"
"32792","15"
"56","218"
"22162","11"
"27404","76"
"5291","72"
"3834","39"
"35709","11"
"6583","4"
"8900","11"
"493","30"
"9021","43"
"11256","6"
"15173","39"
"1982","14"
"23772","47"
"26883","6"
"4883","40"
"343","7"
"34879","36"
"1245","25"
"36627","3"
"419","17"
"327","24"
"23084","23"
"36590","8"
"","2"
"19020","33"
"","7"
"55638","31"
"1322","13"
"2490","11"
"37019","21"
"33431","27"
"8741","42"
"41162","37"
"39371","18"
"41543","24"
"41795","11"
"1199387","54"
"30546","15"
"38038","17"
"18565","44"
"19746","56"
"39532","15"
"1768","6"
"31671","34"
"45241","6"
"44996","57"
"40376","3"
"25024","69"
"2974","36"
"2147","33"
"19820","49"
"40498","15"
"41968","21"
"43281","8"
"25418","16"
"","9"
"49153","16"
"46443","22"
"42595","81"
"1050","9"
"20301","102"
"17860","36"
"16645","29"
"15985","33"
"49153","12"
"8330","39"
"82","65"
"38438","16"
"40548","33"
"48500","48"
"40939","15"
"51189","11"
"62776","82"
"53866","14"
"2661653","49"
"","2"
"55402","19"
"51108","19"
"3798","8"
"41572","31"
"8024","16"
"56170","21"
"15592","76"
"136","22"
"3641","13"
"4232","19"
"12969","34"
"40843","103"
"36446","61"
"25418","26"
"26699","14"
"53849","13"
"59744","23"
"21550","20"
"43816","23"
"47846","15"
"2596","80"
"28278","50"
"854","72"
"32484","32"
"459737","15"
"59119","10"
"1912","19"
"61876","58"
"5023","133"
"36590","19"
"18160","17"
"62659","4"
"4639","26"
"","25"
"","22"
"4200","22"
"56","3"
"48067","2"
"60628","34"
"13281","21"
"","6"
"59649","12"
"26457","29"
"33111","145"
"5147","55"
"21209","9"
"","35"
"2250286","11"
"","4"
"61663","35"
"60002","13"
"40356","32"
"61639","15"
"60777","33"
"23246","9"
"6651","13"
"40676","2"
"24309","47"
"39843","6"
"2680373","25"
"32571","42"
"408718","27"
"2010","17"
"61728","53"
"10272","78"
"48655","7"
"7856","26"
"66478","20"
"48654","11"
"53947","29"
"45777","77"
"63051","11"
"33690","17"
"","97"
"28843","90"
"49238","5"
"6783","9"
"66098","43"
"65868","279"
"1918","12"
"12514","14"
"49544","32"
"40785","51"
"52115","11"
"9825","22"
"34935","30"
"57997","8"
"56555","33"
"47281","9"
"46011","49"
"50111","10"
"72760","26"
"63235","10"
"57752","30"
"12386","16"
"72603","31"
"79419","23"
"","16"
"17540","40"
"389","2"
"81306","7"
"4236","29"
"74031","21"
"37759","14"
"225","56"
"28298","41"
"","3"
"65488","4"
"67361","8"
"1688440","12"
"79015","53"
"14395","51"
"1043","39"
"83853","22"
"61427","39"
"84508","33"
"55327","41"
"72583","52"
"84798","18"
"29432","47"
"53885","10"
"4555","45"
"51898","10"
"89027","24"
"86751","60"
"78297","24"
"80796","1"
"72499","6"
"78297","30"
"","22"
"52745","63"
"361","63"
"831","28"
"91942","15"
"15345","11"
"62516","24"
"62122","8"
"4038","20"
"11333","34"
"64133","13"
"82754","18"
"88704","6"
"12448","25"
"58880","8"
"3291","21"
"81235","24"
"64718","14"
"17174","90"
"82475","3"
"","44"
"81670","77"
"4023","45"
"4257","9"
"49971","17"
"392","31"
"383","37"
"384","56"
"381","83"
"636","12"
"1463","274"
"1224","13"
"392","137"
"1662","42"
"2799","51"
"2799","115"
"31505","14"
"1448983","71"
"797","66"
"572","13"
"2674","33"
"1585","5"
"2687","69"
"2328","71"
"1862","81"
"5208","27"
"1693","39"
"5200","72"
"454247","35"
"3834","12"
"1288","156"
"4337","20"
"9195","79"
"8739","142"
"1889","14"
"72583","43"
"1768","44"
"14758","38"
"2755","9"
"13728","20"
"3420","19"
"11827","26"
"10088","30"
"16794","43"
"9434","72"
"12484","93"
"17558","36"
"17560","42"
"4191","47"
"","3"
"7215","34"
"9128","103"
"7598","145"
"19929","29"
"19129","174"
"1448","43"
"18866","19"
"20816","28"
"","12"
"13688","33"
"","2"
"","11"
"1119","21"
"4115","32"
"7121","7"
"2138","31"
"16440","89"
"11961","70"
"1428","26"
"12531","39"
"22715","23"
"12646","3"
"16399","24"
"21784","59"
"22735","5"
"2109","10"
"4323","27"
"19718","86"
"410357","39"
"7831","9"
"1987","55"
"14981","26"
"19147","47"
"3425","51"
"24622","121"
"19013","54"
"4639","23"
"192","20"
"26107","22"
"25578","34"
"24975","97"
"307","3"
"4418","64"
"10693","50"
"2797","31"
"572","16"
"28281","18"
"1288","86"
"28921","65"
"8206","123"
"13943","29"
"29405","20"
"24126","12"
"31049","43"
"6358","92"
"31749","28"
"831","92"
"25462","43"
"26327","5"
"26627","12"
"10592","23"
"9021","88"
"7734","72"
"33690","30"
"420","20"
"7290","24"
"9209","110"
"24975","22"
"1310","34"
"13989","175"
"14569","11"
"26327","27"
"83","8"
"14481","50"
"1113","33"
"26931","106"
"9266","38"
"5056","12"
"36858","101"
"37144","19"
"37149","12"
"26923","13"
"32595","80"
"10040","25"
"5728","19"
"","9"
"976","17"
"21952","25"
"21005","100"
"9922","20"
"26086","10"
"2656","19"
"","0"
"39905","5"
"33982","24"
"7648","8"
"1284","25"
"29","70"
"21363","14"
"30234","32"
"28607","2"
"21144","30"
"16440","43"
"37650","6"
"31132","5"
"","23"
"29653","96"
"439507","25"
"","31"
