OwnerUserId,Score
27687,35
27687,11
361,4
1630,15
1010,17
877,7
4857,17
2186,8
16457,13
96,8
6678,30
13967,2
2932,27
15537,8
1841427,2
2659,40
,8
7363,23
10759,61
11507,4
15255,38
20550,12
25749,11
1816,25
7831,9
,-1
14777,14
25719,3
29653,40
24874,31
28835,82
14026,8
11575,37
32794,20
22522,5
9506,24
18153,6
,1
34548,1
34548,2
36007,10
,6
750,8
18657,1
35516,11
24481,5
39058,13
4550,3
5303,13
20493,6
4055,12
4491,1
4725,106
34440,6
,2
42111,7
13422,32
19159,13
5055,2
5188,1
42389,0
35693,14
,5
47601,3
47633,11
31132,1
30719,17
2596,6
48957,5
28672,4
42749,6
373112,4
36145,7
1950,82
2819,29
32718,1
27805,7
33015,17
5433,11
,1
1094969,9
1683,29
52913,11
21186,0
6009,11
,7
4639,2
15968,19
5324,18
63235,4
,22
1782,8
55154,7
10232,5
50419,3
37196,33
34799,10
23740,5
15809,14
65696,3
1390354,1
70156,7
39590,10
21711,22
40118,36
20400,1
63051,12
35288,0
74716,1
39321,24
62151,34
77942,13
26188,39
2183,9
83450,9
,6
15497,32
85144,11
2938,8
60628,45
41282,11
49153,6
86924,14
,6
86388,33
,13
56555,4
15013,25
84216,4
4484,2
73501,10
86263,2
93535,5
92238,3
,8
65223,4
,1
71421,9
99329,1
68473,14
90325,26
107427,3
70702,5
102367,36
751,7
48266,35
38678,5
106196,11
,-1
29771,30
88600,10
84021,17
88555,16
91172,5
121470,9
108022,40
29443,2
121755,7
92272,58
39278,4
116,18
,1
125435,8
71683,7
107062,7
107748,3
,8
134053,5
110022,8
107748,7
81800,7
100142,13
125806,5
15537,8
,13
87408,5
1360,14
42636,6
5363,5
102937,13
142169,14
58394,9
103026,12
,5
136106,5
,3
76393,9
149998,3
41021,5
91,27
152092,5
90765,11
107834,3
5416,10
158007,3
35634,11
2749,7
14022,11
146563,1
160406,16
145782,19
100186,21
142080,11
10817,12
169743,5
7277,6
152113,24
150445,4
,5
104015,8
2224246,5
77139,3
45471,5
171915,9
41543,5
98275,9
64960,25
125032,6
164216,8
,14
140236,25
54500,4
84118,19
137912,4
100894,18
184314,4
86899,7
82586,8
123201,20
76701,19
204,5
71302,1
165873,8
179364,1
58394,18
1760643,10
122732,28
195336,8
114338,3
27328,5
102398,4
127257,2
77466,19
81440,9
109347,1
25727,12
115493,12
206002,1
134143,1
155268,11
92213,5
75799,15
184046,18
72859,8
208662,3
45959,13
173289,3
165029,1
452201,1
47754,14
117704,10
48465,18
32001,36
116371,6
149621,5
217212,4
225688,3
38737,7
2147,44
113570,3
14572,3
231802,7
117433,7
208918,1
233912,13
5653,2
54197,3
56242,12
85040,6
235247,15
199722,9
227848,2
90691,22
39106,13
228492,26
238675,0
147601,11
125713,0
63235,20
240853,2
103682,3
51336,1
207646,27
162415,4
51649,4
59087,9
112100,14
252030,12
243708,12
253252,14
95657,10
102689,20
255574,12
27305,30
188962,15
118110,10
147601,9
128463,35
240914,9
241654,5
143542,26
258508,11
207419,31
265023,37
227171,32
133374,16
169477,11
268736,9
18149,3
135301,7
134713,24
226001,1
135152,20
266803,8
49478,21
113124,9
275381,6
98575,6
126545,6
207524,3
2224246,3
278720,25
198256,2
267174,11
107887,4
282359,10
54736,15
172075,3
170986,8
112603,5
5274,7
200586,0
243782,19
151937,7
150,28
456,17
383,22
826,7
2138,21
1122,5
4694,11
1212,13
8344,42
543,18
1133,19
2253,6
14873,31
9922,18
19306,9
6309,43
450527,7
1489,8
1444,11
,20
21004,7
16314,4
5662,3
1606,10
,15
14013,0
11989,5
11892,10
144,5
24545,23
644,13
2204759,10
1149,7
3359,3
1450,16
22,0
23309,10
1206,21
32279,31
20999,7
17279,11
35459,5
21005,16
17279,5
1731,1
1287,8
96,10
38325,36
21162,0
3268,5
5274,24
3045,17
41861,11
39709,25
42446,6
2114,7
16390,7
4653,70
6403,21
452521,17
6583,8
22306,14
32168,11
42782,6
5123,67
8123,12
29941,12
40348,27
24908,6
,5
,8
34685,8
826,4
54128,4
32313,10
,8
59320,24
33917,3
986,7
6688,4
,27
59968,3
20400,4
52704,31
23903,28
33690,7
,0
48943,9
17744,7
30056,47
58404,8
17967,3
70567,5
56976,3
38212,12
,7
36131,9
11802,17
35203,1
22088,9
40441,6
39992,19
,1
,2
62245,2
23671,12
77257,28
5542,21
648,6
18434,11
15396,2
16631,2
76734,18
369,23
4639,8
18821,0
,1
55562,26
79076,0
29445,6
73137,34
85882,6
63735,2
88039,1
86047,16
45139,5
,5
40882,7
82099,0
,17
93854,10
96883,21
24587,20
95232,20
1645,39
109676,29
100894,8
,8
2147,10
102620,45
72136,18
40667,11
98020,18
79891,8
107353,1
75328,3
39321,5
78182,1
110203,7
70288,11
93955,7
106403,8
11122,2
,4
15369,6
,33
27820,1
6268,3
31317,15
23499,9
119422,23
119215,6
80633,13
65232,21
84539,4
103532,19
1149,2
127488,17
51518,2
103132,4
126953,6
18049,7
128028,5
16162,8
135304,1
56509,5
45390,4
118217,1
90765,5
121961,19
,8
85977,13
8707,8
123389,2
13231,28
42134,2
32303,9
56581,11
57569,12
6188,13
54755,8
64421,3
86038,10
,9
46724,11
114251,4
,4
,4
80421,25
115201,18
45849,9
,8
100240,10
68011,39
,5
158711,8
14723,1
27870,6
6503,1
131595,3
137317,41
44573,2
114916,2
23199,9
88269,11
162167,1
153535,25
20126,11
156153,6
134500,11
,13
117062,3
1965,10
165645,2
79505,3
172651,12
168212,7
152630,21
60200,6
102441,13
113141,1
27114,27
8521,14
125812,15
40441,19
127135,2
182191,2
155085,4
3646,3
29246,15
115722,43
41384,4
21234,15
76777,10
57698,8
63235,7
147695,20
165750,5
195068,2
57907,8
198324,3
30419,27
159226,3
63235,7
18927,11
121096,2
200082,7
113195,35
80353,3
,9
209113,5
143327,9
75889,60
209512,13
18505,56
198837,1
34537,13
104796,13
214250,21
27305,4
112100,14
222650,8
4639,10
49189,1
127497,7
179235,7
226030,22
21209,3
222556,3
227341,26
85040,3
226299,2
25891,5
58743,17
113195,12
148478,5
175027,12
164506,2
117700,2
221023,9
3834,14
24391,3
129404,17
120234,10
234322,2
238389,12
206715,7
9021,33
4770,19
125361,31
203211,3
204286,9
44084,5
245046,7
41067,22
217771,7
77413,7
158096,7
214302,8
256410,0
233254,18
165737,17
243837,5
172892,9
151641,22
216790,9
189618,26
160574,10
249403,17
60188,14
84424,19
270007,0
258870,15
249618,16
51197,24
183806,5
148869,14
,3
7315,19
166743,21
281180,5
281570,28
421010,16
145645,23
249991,7
1178532,4
288062,0
279258,3
198040,38
291774,15
291802,7
124367,1
242988,10
20128,9
242,19
432,8
1142,41
274,4
1084,42
1043,14
340,13
13196,25
12597,8
730,22
13519,15
258,2
15974,6
17554,2
1219,8
14637,3
19306,10
401774,51
16534,2
1692070,10
5427,8
8178,16
1870,34
15472,21
4061,14
26183,33
12597,7
1215,22
3043,7
12233,23
28889,27
14540,11
29912,0
22471,1
1447,9
13552,61
32941,9
36429,13
13627,12
38075,12
29555,8
115,13
12637,6
,3
9535,5
43744,22
30741,16
8123,34
47605,7
5473,7
7734,8
50597,32
37494,63
18393,16
,1
,4
1142,6
392,17
4323,32
8670,22
31677,3
35197,18
57120,14
21816,5
54035,11
,11
56932,9
57033,5
18292,1
1862,35
343,15
39242,11
5542,50
2644,3
50970,14
3911,16
1097,7
59376,8
42240,6
61663,12
61637,3
3,2
22656,202
42155,4
,20
