OwnerUserId,Score
"797","61"
"755","29"
"396","18"
"1870","18"
"39","16"
"22","11"
"822","24"
"2868","41"
"2875","45"
"2971","115"
"2976","111"
"1284","74"
"1931","51"
"2361","25"
"194","55"
"4035","51"
"3645","25"
"2547","10"
"2386","39"
"1695","48"
"3747","10"
"1090","9"
"4883","40"
"4541","26"
"1796","36"
"4883","87"
"","45"
"3750","19"
"","3"
"877","18"
"5777","20"
"13099","37"
"2260","5"
"15687","21"
"15778","40"
"91","4"
"2357","12"
"4337","44"
"11972","16"
"3289","23"
"","3"
"16492","25"
"13143","15"
"67","9"
"19387","14"
"16866","37"
"122","45"
"10503","44"
"13593","15"
"19990","57"
"1486","65"
"22365","5"
"15328","148"
"","15"
"1310","10"
"3488","9"
"","13"
"23630","13"
"2033811","9"
"5324","37"
"4592","11"
"21784","15"
"23968","32"
"24197","21"
"","14"
"691","11"
"13244","29"
"3241","5"
"202","17"
"18471","12"
"3114","28"
"25546","25"
"6021","9"
"14569","23"
"11142","5"
"19956","6"
"1896","35"
"745","55"
"39","58"
"15928","3"
"12631","3"
"13564","42"
"15055","155"
"24717","38"
"15609","2"
"29477","13"
"","14"
"30939","4"
"12193","24"
"30046","45"
"720","47"
"3848","114"
"2424","9"
"1560","20"
"81","7"
"20011","11"
"3256","22"
"945","4"
"32174","50"
"31325","15"
"3834","53"
"","2"
"2220518","17"
"13440","30"
"","1"
"26349","93"
"11614","14"
"3509","12"
"14716","35"
"","24"
"8954","20"
"22162","8"
"2017","11"
"142","15"
"33604","6"
"38258","79"
"20748","9"
"","4"
"38871","10"
"24459","28"
"4421","20"
"","2"
"39529","14"
"","14"
"2128","12"
"36036","8"
"39636","18"
"22656","87"
"999","36"
"5475","88"
"31590","23"
"6691","38"
"1695","203"
"4196","1"
"6583","47"
"18631","23"
"9035","9"
"1853","46"
"17712","38"
"35416","5"
"","3"
"18909","17"
"23447","4"
"2260","15"
"41861","32"
"12030","39"
"39339","3"
"32043","26"
"38567","24"
"11621","3"
"","22"
"34957","21"
"26334","15"
"","12"
"8167","7"
"3413","6"
"42588","11"
"4779","17"
"12460","41"
"24841","6"
"40882","17"
"","1"
"43960","15"
"32582","18"
"39663","7"
"2848","33"
"1462","40"
