5949,53
15687,21
15734,13
26882,1
34664,75
51492,17
68583,1
75752,25
75777,8
75976,22
76065,15
76204,2
83807,6
93834,23
118935,23
119278,5
119286,28
127606,8
150697,35
178837,21
178846,22
178898,28
186642,4
186917,3
194790,13
200954,15
214998,7
222019,8
228908,41
229080,15
262150,5
269840,28
276009,8
282876,8
289329,1
289360,11
301809,36
301982,0
308985,2
321299,114
327895,24
328061,17
328202,11
340521,7
346926,7
347156,70
352885,21
353226,17
359625,8
384913,5
391339,6
398468,5
398476,4
404258,12
418399,3
424770,6
438184,4
444344,11
444455,1
470040,25
470141,10
474977,9
481943,3
482309,47
487571,1
498521,10
498917,7
504368,2
504533,8
521621,16
534233,20
534438,2
534474,10
540229,7
544844,4
551933,20
557764,85
557819,24
558009,3
583615,3
583637,5
589607,3
589622,12
589757,7
599682,4
599823,11
612439,4
629087,3
629183,7
636270,2
642515,5
661008,3
666564,2
672702,7
672716,10
678327,8
690370,14
690386,34
701730,3
707993,4
713559,11
713671,6
718785,2
725465,7
731068,5
736856,11
743197,20
754957,8
755196,49
755245,7
760753,17
773029,10
778252,12
804192,19
809496,5
820740,19
820782,12
837521,22
837559,29
848905,1
848947,14
860678,26
866654,3
866695,5
873510,36
885241,17
885271,2
885373,17
885443,54
885497,9
891833,4
897343,4
909361,2
926067,6
938047,3
938155,7
944110,19
953477,6
965500,2
971698,2
977017,5
994905,40
995109,2
1013582,3
1013647,10
1041886,9
1047969,4
1074800,9
1080306,17
1085524,21
1091180,7
1091311,29
1098282,8
1104075,20
1104306,9
1115639,3
1120371,15
1120455,14
1120575,39
1138087,2
1138197,4
1144297,13
1155194,4
1160173,14
1160233,6
1160295,5
1160420,13
1160454,14
1167056,9
1172769,12
1184316,8
1184576,6
1190689,4
1190809,5
1196346,5
1202347,19
1202383,2
1224292,36
1224613,11
1230498,5
1230630,7
1234999,3
1235219,42
1247528,1
1247762,6
1253053,43
1274225,6
1285917,12
1292486,9
1304715,2
1310649,17
1310714,7
1316101,20
1340938,6
1341154,76
1357776,13
1362315,1
1384451,24
1391579,3
1391610,10
1412582,12
1429645,22
1434647,14
1450937,3
1451021,4
1465851,25
1482034,6
1497702,2
1509170,7
1515173,0
1515195,5
1515324,85
1521258,1
1521271,1
1526806,15
1531740,5
1536633,6
1536944,8
1543614,43
1548983,0
1554774,22
1567133,5
1567377,18
1567388,5
1572746,5
1599204,8
1599235,13
1605766,7
1621206,8
1621445,3
1626458,11
1626636,12
1631924,9
1632058,21
1632080,7
1637302,9
1643035,33
1647980,4
1685678,2
1696407,0
1707663,12
1707854,17
1712701,10
1718640,5
1718739,9
1724474,14
1724630,15
1730649,9
1736530,20
1736630,16
1741894,15
1741927,0
1752946,8
1764498,2
1769053,34
1774465,14
1774582,1
1781091,16
1781202,23
1781204,7
1791796,9
1807483,2
1812615,5
1818017,2
1823951,5
1824160,6
1829422,1
1829609,2
1834916,2
1840545,3
1873113,9
1883663,9
1883783,1
1888743,7
1888854,44
1888970,3
1905060,7
1910049,13
1915316,3
1926571,20
1931896,1
1937163,4
1947250,3
1947323,7
1952714,6
1952728,3
1952797,11
1963325,14
1973711,0
1973714,20
1978836,5
1994018,10
2004832,0
2015167,6
2015204,20
2020655,3
2025280,4
2025353,9
2031686,2
2036554,0
2041532,13
2041542,21
2041622,33
2041718,6
2047691,23
2047786,7
2093344,35
2120044,13
2124941,2
2130226,18
2135737,-1
2145027,8
2150194,15
2150455,19
2150504,4
2160887,10
2161180,5
2165453,3
2170439,56
2170610,28
2175882,20
2191810,6
2196316,8
2201650,3
2201851,9
2206687,4
2206712,10
2238609,7
2243488,26
2243554,5
2248726,13
2265073,9
2276759,16
2282553,4
2282657,1
2300389,3
2300401,17
2317617,3
2322726,4
2328182,21
11330,8
11532,41
21870,28
30397,5
36515,9
36953,42
51964,7
69568,1
76349,9
85595,13
93171,8
93540,30
101461,14
101709,4
101745,23
108866,21
115098,12
115167,7
121676,8
121762,23
129257,26
143933,11
158716,21
174659,38
174839,12
190380,0
211043,26
216341,7
